ensembl_gene_id,BIC_M,BIC_Z,decay_mode,dBIC,significant
ENSDARG00000001169,125.60721811859644,94.44853501211216,Z,31.158683106484276,True
ENSDARG00000001210,30.182941563178137,147.40962752762564,M,117.22668596444751,True
ENSDARG00000001234,80.91745686656796,81.03959251507544,M,0.12213564850748071,False
ENSDARG00000001241,-28.549744303964903,19.31323238318256,M,47.862976687147466,True
ENSDARG00000001244,-5.203223968338838,-2.3298774546516205,M,2.8733465136872174,False
ENSDARG00000001249,48.09856357230939,2.5362205639152418,Z,45.562343008394144,True
ENSDARG00000001313,52.68806623659475,102.64674608432904,M,49.95867984773429,True
ENSDARG00000001354,-7.949025846435994,-7.245010196046908,M,0.7040156503890858,False
ENSDARG00000001414,82.88937573194083,80.93602555215952,Z,1.9533501797813102,False
ENSDARG00000001437,110.26470488720854,110.34406791886587,M,0.07936303165733705,False
ENSDARG00000001442,45.81378173316465,-3.398578349304751,Z,49.2123600824694,True
ENSDARG00000001447,91.15070690093134,63.416155446556935,Z,27.734551454374404,True
ENSDARG00000001452,73.56308699376952,9.732121131171068,Z,63.83096586259845,True
ENSDARG00000001463,109.94090526261492,110.0156635257477,M,0.07475826313277878,False
ENSDARG00000001470,164.03861198952794,108.0960106959641,Z,55.94260129356384,True
ENSDARG00000001498,-5.445983289520967,-5.4890794851830345,Z,0.04309619566206724,False
ENSDARG00000001549,105.63312671447714,101.89898525200928,Z,3.7341414624678606,False
ENSDARG00000001557,36.66858365715995,43.7228310449046,M,7.0542473877446525,True
ENSDARG00000001558,1.4348138641632926,11.116018668651256,M,9.681204804487964,True
ENSDARG00000001621,134.75235356930062,104.18407706243714,Z,30.568276506863484,True
ENSDARG00000001634,59.86477187428542,61.87620168007528,M,2.0114298057898665,False
ENSDARG00000001686,-28.27449504363195,-30.915218257205574,Z,2.6407232135736223,False
ENSDARG00000001710,49.73982902751055,36.41220013339392,Z,13.327628894116636,True
ENSDARG00000001712,-58.49935907862388,-58.88496048527036,Z,0.38560140664647946,False
ENSDARG00000001721,52.64956235731489,54.30033401425915,M,1.6507716569442579,False
ENSDARG00000001729,-4.7632546087694845,7.828694873656356,M,12.59194948242584,True
ENSDARG00000001733,138.63774135900695,88.21698581316475,Z,50.4207555458422,True
ENSDARG00000001754,43.35587625133638,38.619238640692,Z,4.736637610644387,False
ENSDARG00000001760,82.35327363743373,82.36732429049313,M,0.014050653059399565,False
ENSDARG00000001767,111.72656392479242,183.0650884471372,M,71.3385245223448,True
ENSDARG00000001769,54.71636838218146,32.427705597878045,Z,22.288662784303412,True
ENSDARG00000001777,44.2798460885382,41.2053823048126,Z,3.074463783725598,False
ENSDARG00000001782,74.82084321459692,74.89781508531082,M,0.07697187071390488,False
ENSDARG00000001785,69.0602619981803,72.3101237938311,M,3.2498617956508014,False
ENSDARG00000001788,20.63892943275161,151.67359098463987,M,131.03466155188826,True
ENSDARG00000001804,35.46700076070954,45.34420170927024,M,9.877200948560699,True
ENSDARG00000001807,63.587245851593366,63.65132023288994,M,0.06407438129657095,False
ENSDARG00000001817,101.642003910342,80.51828390487655,Z,21.123720005465444,True
ENSDARG00000001818,92.06277869904594,91.8591121336752,Z,0.2036665653707388,False
ENSDARG00000001829,30.485578623972003,34.07556493523624,M,3.5899863112642336,False
ENSDARG00000001835,48.68266867123408,60.58516921769824,M,11.902500546464154,True
ENSDARG00000001857,119.75221824838545,105.11078159377982,Z,14.641436654605627,True
ENSDARG00000001859,64.42377977949891,64.55598353368094,M,0.13220375418202934,False
ENSDARG00000001879,47.351872141626856,44.33940916783012,Z,3.0124629737967368,False
ENSDARG00000001880,115.43475757873745,77.09627228229327,Z,38.338485296444176,True
ENSDARG00000001882,45.786616420300575,45.88412033923323,M,0.09750391893265231,False
ENSDARG00000001888,69.3963948620266,69.33822833094678,Z,0.05816653107982006,False
ENSDARG00000001889,75.5851051048426,72.21417401582195,Z,3.370931089020644,False
ENSDARG00000001890,79.93345514326442,62.04434079741788,Z,17.889114345846544,True
ENSDARG00000001891,-7.349662558294026,-11.362350317642122,Z,4.012687759348096,False
ENSDARG00000001897,58.65244396681408,38.76214635096082,Z,19.890297615853264,True
ENSDARG00000001898,35.89752397287872,85.84213195719278,M,49.944607984314054,True
ENSDARG00000001909,8.595776975465212,8.652573103970779,M,0.05679612850556737,False
ENSDARG00000001910,81.38507572624223,80.99461406841982,Z,0.3904616578224136,False
ENSDARG00000001913,41.47100028813957,41.31110943035739,Z,0.15989085778218026,False
ENSDARG00000001930,98.9621773044536,69.96180775713117,Z,29.000369547322435,True
ENSDARG00000001933,-57.24976027712008,-56.96180049400349,M,0.287959783116591,False
ENSDARG00000001937,-76.30726664470107,-76.23409915308966,M,0.07316749161141445,False
ENSDARG00000001939,58.90675638531575,58.00599643314366,Z,0.9007599521720948,False
ENSDARG00000001940,75.59833787164378,42.12927320786029,Z,33.46906466378349,True
ENSDARG00000001953,106.15239054486617,106.36505310643864,M,0.212662561572472,False
